Experiment,Replication,A,B,C,AvgQueueOnArrival,AvgPrepQueue,AvgWaitTime,PrepUtil,TheatreUtil,RecoveryUtil,BlockingProb,RecoveryFullProb
Exp1_---,0,-1,-1,-1,0.9286,1.1750,38.3873,0.8797,0.9125,0.4047,0.029653,0.0688
Exp1_---,1,-1,-1,-1,7.0333,7.7750,205.3237,1.0000,0.9125,0.4484,0.030526,0.0688
Exp1_---,2,-1,-1,-1,1.2353,1.3250,22.6782,0.8375,0.8250,0.4047,0.015339,0.0563
Exp1_---,3,-1,-1,-1,3.6176,3.9750,97.2714,0.9906,1.0000,0.3406,0.005994,0.0500
Exp1_---,4,-1,-1,-1,0.5000,0.4813,6.6611,0.6953,0.7875,0.3391,0.000401,0.0500
Exp1_---,5,-1,-1,-1,0.1200,0.2562,11.5290,0.5078,0.8313,0.4016,0.021323,0.0500
Exp1_---,6,-1,-1,-1,0.0606,0.1250,3.0563,0.7359,0.8688,0.2938,0.000000,0.0375
Exp1_---,7,-1,-1,-1,0.0345,0.0813,2.2880,0.4437,0.5500,0.2516,0.000000,0.0063
Exp1_---,8,-1,-1,-1,0.9231,1.0500,21.0341,0.8219,0.8750,0.3344,0.000000,0.0063
Exp1_---,9,-1,-1,-1,0.0000,0.0875,2.5650,0.5437,0.7188,0.2828,0.000000,0.0375
Exp1_---,10,-1,-1,-1,1.9333,1.0625,6.6504,0.7531,0.9125,0.4328,0.000000,0.0563
Exp1_---,11,-1,-1,-1,0.0000,0.0125,0.5646,0.3656,0.6188,0.3875,0.007639,0.0625
Exp1_---,12,-1,-1,-1,0.1034,0.1375,3.6823,0.5391,0.7625,0.4078,0.000000,0.0250
Exp1_---,13,-1,-1,-1,0.5789,0.7875,15.4477,0.6656,0.7438,0.3734,0.009692,0.0688
Exp1_---,14,-1,-1,-1,0.1250,0.2437,5.7651,0.6531,0.8125,0.4000,0.000000,0.0312
Exp1_---,15,-1,-1,-1,0.3810,0.2750,10.7050,0.4359,0.5813,0.2219,0.001979,0.0063
Exp1_---,16,-1,-1,-1,0.1379,0.2000,5.3312,0.5188,0.6937,0.3594,0.000000,0.0063
Exp1_---,17,-1,-1,-1,0.6667,0.7063,11.0370,0.6312,0.6500,0.4766,0.049356,0.1125
Exp1_---,18,-1,-1,-1,0.6071,0.7312,20.3207,0.6813,0.8000,0.4422,0.036172,0.1562
Exp1_---,19,-1,-1,-1,1.4324,1.3625,25.2865,0.5641,0.6312,0.2672,0.000000,0.0563
Exp2_+--,0,1,-1,-1,0.5484,0.8688,22.2973,0.7375,0.8313,0.3812,0.038515,0.1375
Exp2_+--,1,1,-1,-1,0.4194,0.4125,11.0695,0.5547,0.8375,0.3281,0.021093,0.0813
Exp2_+--,2,1,-1,-1,0.0000,0.0187,0.4430,0.5344,0.8313,0.4469,0.005742,0.0563
Exp2_+--,3,1,-1,-1,0.0000,0.0063,0.0000,0.4750,0.6875,0.3469,0.022097,0.0938
Exp2_+--,4,1,-1,-1,1.3333,2.2437,39.3169,0.9031,0.9812,0.4313,0.006915,0.0875
Exp2_+--,5,1,-1,-1,3.3824,3.9375,97.4117,0.9922,0.9938,0.4078,0.060204,0.1250
Exp2_+--,6,1,-1,-1,0.5152,0.5500,13.1618,0.6687,0.9062,0.4453,0.010314,0.1313
Exp2_+--,7,1,-1,-1,3.3750,3.4562,62.7447,0.7937,0.7438,0.4500,0.000000,0.0750
Exp2_+--,8,1,-1,-1,0.3571,0.3500,10.1463,0.6891,0.7688,0.4250,0.006444,0.1062
Exp2_+--,9,1,-1,-1,0.3333,0.2375,4.5706,0.4141,0.5687,0.3922,0.000000,0.0063
Exp2_+--,10,1,-1,-1,2.3542,2.6313,36.9951,0.9109,0.8375,0.3984,0.019262,0.0750
Exp2_+--,11,1,-1,-1,11.4048,12.1062,221.9616,1.0000,0.9938,0.4016,0.008672,0.0688
Exp2_+--,12,1,-1,-1,1.0541,1.2250,24.5560,0.9344,0.9625,0.4516,0.050463,0.1437
Exp2_+--,13,1,-1,-1,7.8571,7.0812,118.2989,0.8656,1.0000,0.4172,0.057570,0.1187
Exp2_+--,14,1,-1,-1,17.4000,17.6375,341.1827,1.0000,1.0000,0.3937,0.085256,0.1562
Exp2_+--,15,1,-1,-1,8.2353,9.2375,222.4108,1.0000,0.9625,0.3016,0.000000,0.0250
Exp2_+--,16,1,-1,-1,6.6667,8.1250,129.0686,0.9563,0.9437,0.3406,0.037487,0.0563
Exp2_+--,17,1,-1,-1,0.3947,0.4688,10.1048,0.7734,0.7688,0.4828,0.001678,0.0750
Exp2_+--,18,1,-1,-1,3.2000,3.2687,64.0157,0.9688,0.9750,0.3500,0.033765,0.1250
Exp2_+--,19,1,-1,-1,0.5217,0.6562,9.0718,0.6516,0.7750,0.5000,0.013998,0.1125
Exp3_-+-,0,-1,1,-1,1.2778,1.4625,33.4523,0.7350,0.8625,0.3828,0.000000,0.0312
Exp3_-+-,1,-1,1,-1,0.0345,0.0250,0.7539,0.5637,0.7937,0.5875,0.037753,0.2062
Exp3_-+-,2,-1,1,-1,0.4118,0.3625,7.7790,0.8000,0.9250,0.3187,0.067762,0.1125
Exp3_-+-,3,-1,1,-1,0.1290,0.2000,5.3578,0.6937,0.8438,0.4516,0.000000,0.0437
Exp3_-+-,4,-1,1,-1,0.1842,0.2750,5.8935,0.7925,0.8250,0.4313,0.080762,0.1250
Exp3_-+-,5,-1,1,-1,0.3226,0.4875,12.6163,0.6500,0.7250,0.2984,0.018163,0.0437
Exp3_-+-,6,-1,1,-1,0.4750,0.6687,13.4602,0.8625,1.0000,0.4406,0.008227,0.0500
Exp3_-+-,7,-1,1,-1,0.7500,0.7312,14.1261,0.5925,0.8438,0.5484,0.031573,0.1062
